"gene_id"	"gene_name"	"total_log2FC"	"fisher_pval"	"min_padj"	"lfc_at_min_p"	"n_sites"
"ENSG00000056487.18"	"PHF21B"	1.51069387780676	0.0290473372409524	0.0290473372409524	1.46007696764956	1
"ENSG00000099910.18"	"KLHL22"	1.42780127407621	0.0360870659789919	0.0360870659789919	1.58539370262435	1
"ENSG00000100345.24"	"MYH9"	1.95443165391382	0.0285527617237538	0.0285527617237538	2.15148979656324	1
"ENSG00000100354.23"	"TNRC6B"	-1.86516322094997	0.00356319126977744	0.00356319126977744	-1.95137015863026	1
"ENSG00000196576.17"	"PLXNB2"	1.62170428921839	0.0433579241301885	0.0433579241301885	1.63479328175598	1
"ENSG00000197182.17"	"MIRLET7BHG"	2.03348285305533	3.17190222071551e-84	0.000923468754884471	2.19962077324651	98
"ENSG00000241878.13"	"PISD"	1.33698637538459	0.00363342928755166	0.00885857902818288	2.6146391266254	2
"ENSG00000291035.2"	"RRP7BP"	1.82618881143126	0.00860724611269953	0.00860724611269953	2.1701373584249	1
